ID;beginning date;ending date;contract number;full name;birthday;gender;passport num;passport series;contract type;add info
1;11.03.2020;11.03.2022;876905;Gerald Batler;13.11.1967;MALE;567809;2012;Mobile Contract;400 10 400
2;28.09.2020;28.09.2022;345216;Margaret Stone;03.04.1987;FEMALE;123456;2007;Mobile Contract;100 15 50
3;01.01.2020;01.01.2022;765489;Olivia Hunt;01.02.1999;FEMALE;564375;2018;Mobile Contract;0 30 0
4;02.02.2019;02.02.2021;123098;Charles Daniels;17.05.1979;MALE;674544;1999;Mobile Contract;250 20 100
5;07.12.2020;06.06.2022;321456;Oliver Reed;25.12.2000;MALE;365824;2014;Mobile Contract;300 0 350
6;12.12.2019;12.12.2024;543217;Lily Potter;30.01.1960;FEMALE;687465;2005;Internet Contract;100
7;11.11.2020;11.11.2025;980745;Harry Potter;31.07.1980;MALE;890858;2000;Internet Contract;150
8;12.05.2018;12.11.2018;867503;Gerald Batler;13.11.1967;MALE;567809;2012;Internet Contract;120
9;30.06.2019;30.06.2020;437689;Ethan Phelps;01.07.1972;MALE;453065;2017;Internet Contract;120
10;04.03.2015;04.09.2017;213765;Sophie Stone;23.11.1988;FEMALE;365868;2008;Internet Contract;100
11;16.08.2020;16.08.2025;456773;Sophie Stone;23.11.1988;FEMALE;365868;2008;Television Contract;BASE
12;27.05.2019;27.05.2024;775394;Gerald Batler;13.11.1967;MALE;567809;2012;Television Contract;EXTRA
13;14.10.2017;14.10.2022;996846;John Chapman;24.08.1959;MALE;555768;2004;Television Contract;ULTRAHD
14;22.09.2018;22.09.2023;485875;Eva Chapman;10.03.1963;FEMALE;994753;2008;Television Contract;CHILD
15;23.06.2016;23.06.2021;917350;Matthew Stevenson;20.12.1982;MALE;335865;2002;Television Contract;NIGHT
